Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
175,PNL,LON:PNL,Personal Assets Trust,FTSE 250,483.50,"1,690.7",1665389166,"488,47",621932,606065,491,"0,47",FALSE,FALSE
,ZEG,LON:ZEG,Zegona Communications,,240.00,"1,690.0",1519153704,216,49638,99843,"249,6",-2,FALSE,FALSE
176,SAFE,LON:SAFE,Safestore Holdings,FTSE 250,773.50,"1,689.6",1797840785,"822,5",53830,283548,"29,11","0,22",FALSE,FALSE
,DATA,LON:DATA,GlobalData,,209.50,"1,686.7",1977355605,234,1004425,817412,1368,-2,FALSE,FALSE
177,SMWH,LON:SMWH,WH Smith,FTSE 250,"1,280.00","1,675.7",1488515856,1137,82488,315581,1680,25,FALSE,FALSE
178,TRN,LON:TRN,Trainline,FTSE 250,351.00,"1,653.6",1603368935,343,1974481,930993,"31,59","-0,01",FALSE,FALSE
179,SSPG,LON:SSPG,SSP Group,FTSE 250,205.00,"1,636.0",1620082912,"203,2",787597,1651593,"283,2","1,6",FALSE,FALSE
180,RHIM,LON:RHIM,RHI Magnesita NV,FTSE 250,"3,465.00","1,633.1",1746726989,3710,3561,11481,"3827,49",-40,FALSE,FALSE
181,MTO,LON:MTO,Mitie Group,FTSE 250,120.00,"1,602.5",1595900166,"119,8",1147286,4291592,"123,4","0,8",FALSE,FALSE
182,TCAP,LON:TCAP,TP ICAP,FTSE 250,207.50,"1,601.4",1738134439,"225,15",300624,1439398,"230,5","0,65",FALSE,FALSE
183,FEV,LON:FEV,Fidelity European Trust,FTSE 250,390.00,"1,594.0",1658240020,"405,83",507745,556584,"408,5","-0,15",FALSE,FALSE
184,FGT,LON:FGT,Finsbury Growth & Income Trust,FTSE 250,824.00,"1,575.6",1569357791,"855,57",320546,567310,920,"4,57",FALSE,FALSE
185,WTAN,LON:WTAN,Witan Investment Trust,FTSE 250,251.00,"1,552.0",1612987281,"265,59",264840,680035,"267,5","0,5",FALSE,FALSE
186,TPK,LON:TPK,Travis Perkins,FTSE 250,729.50,"1,550.3",1754264271,826,58033,625390,950,0,FALSE,FALSE
187,MYI,LON:MYI,Murray International Trust,FTSE 250,250.50,"1,549.1",1573835521,"256,5",853044,781095,"11,7","-0,01",FALSE,FALSE
188,PIN,LON:PIN,Pantheon International,FTSE 250,327.50,"1,546.6",1556734518,"332,78",220048,560591,"27,66","0,17",FALSE,FALSE
189,CCL,LON:CCL,Carnival,FTSE 250,"1,070.00","1,542.7",18300489427,"1051,5",290872,691099,"19,74","-0,03",FALSE,FALSE
190,HILS,LON:HILS,Hill & Smith Holdings,FTSE 250,"1,918.00","1,536.9",1553139436,"1929,17",71323,79096,2015,0,FALSE,FALSE
191,OSB,LON:OSB,OSB Group,FTSE 250,389.60,"1,531.9",1756445681,"450,4",146832,827810,539,"-0,2",FALSE,FALSE
192,PAG,LON:PAG,Paragon Banking Group,FTSE 250,701.00,"1,505.0",1531542422,"723,5",98148,295644,"180,84","3,05",FALSE,FALSE
193,SVS,LON:SVS,Savills,FTSE 250,"1,042.00","1,504.6",1670940200,1158,108072,153737,1208,-10,FALSE,FALSE
,SEPL,LON:SEPL,SEPLAT Petroleum Development Co,,158.75,"1,473.1",938388946,"159,94",39748,124548,"170,5","-0,06",FALSE,FALSE
194,LRE,LON:LRE,Lancashire Holdings Ltd,FTSE 250,598.00,"1,459.2",1520575625,625,1192491,661998,"7,35","-0,11",FALSE,FALSE
195,RAT,LON:RAT,Rathbone Brothers,FTSE 250,"1,602.00","1,451.5",1608729245,1772,234268,108973,2050,1,FALSE,FALSE
,BOCH,LON:BOCH,Bank of Cyprus Holdings,,325.00,"1,449.7",1779873967,359,175339,128826,360,4,FALSE,FALSE
196,HAS,LON:HAS,Hays,FTSE 250,90.95,"1,441.3",1613308124,"101,5",669510,3310547,"73,58","0,92",FALSE,FALSE
197,CEY,LON:CEY,Centamin,FTSE 250,124.30,"1,439.9",1434348191,"123,9",4569959,4684173,"132,8","-2,28",FALSE,FALSE
198,PAGE,LON:PAGE,PageGroup,FTSE 250,438.00,"1,439.4",1551737541,"472,4",635900,632704,"502,5","0,76",FALSE,FALSE
199,QLT,LON:QLT,Quilter,FTSE 250,102.50,"1,439.2",1561364717,111,3143149,2595838,"117,16","-1,3",FALSE,FALSE
200,PTEC,LON:PTEC,Playtech,FTSE 250,457.00,"1,413.5",1496748408,"485,17",110690,355256,"32,13","0,3",FALSE,FALSE
201,MAB,LON:MAB,Mitchells & Butlers,FTSE 250,236.00,"1,410.6",1533206947,"257,5",122088,173673,275,"3,5",FALSE,FALSE
202,JTC,LON:JTC,JTC,FTSE 250,848.00,"1,407.6",1535551800,927,358732,280166,"1,05",0,FALSE,FALSE
203,ASCL,LON:ASCL,Ascential,FTSE 250,314.40,"1,399.3",1093058197,"311,8",489172,1896086,"320,8","0,58",FALSE,FALSE
204,HMSO,LON:HMSO,Hammerson,FTSE 250,27.82,"1,389.5",1421937675,"28,42",3199673,6268692,"29,78","-0,34",FALSE,FALSE
,YCA,LON:YCA,Yellow Cake,FTSE AIM,626.00,"1,357.5",1481095355,683,380369,766446,"749,5","4,5",FALSE,FALSE
205,PFD,LON:PFD,Premier Foods,FTSE 250,156.20,"1,357.1",1439420817,"165,6",271843,956944,"10,7","-0,03",FALSE,FALSE
206,BNKR,LON:BNKR,Bankers Investment Trust,FTSE 250,112.00,"1,353.6",1363893836,"115,31",694775,1900500,"0,16",0,FALSE,FALSE
207,PETS,LON:PETS,Pets at Home Group,FTSE 250,287.80,"1,350.4",1385616627,"296,13",138584,598901,"16,18","0,2",FALSE,FALSE
208,SEQI,LON:SEQI,Sequoia Economic Infrastructure Income Fund Ltd,FTSE 250,81.50,"1,335.1",1297022172,"80,48",1583597,1920385,"88,3","-0,22",FALSE,FALSE
209,BOY,LON:BOY,Bodycote,FTSE 250,694.00,"1,328.7",1400656999,739,95969,241322,748,10,FALSE,FALSE
210,TEP,LON:TEP,Telecom plus,FTSE 250,"1,678.00","1,323.6",1421669699,1802,30410,112248,"1832,96",4,FALSE,FALSE
211,ATT,LON:ATT,Allianz Technology Trust,FTSE 250,340.50,"1,316.7",1374108589,"356,5",397450,649739,362,"-0,5",FALSE,FALSE
212,COA,LON:COA,Coats Group,FTSE 250,82.00,"1,310.2",1377019647,"86,44",168987,1929172,"87,5","0,24",FALSE,FALSE
213,DOM,LON:DOM,Domino's Pizza Group,FTSE 250,331.00,"1,306.6",1368921653,"340,8",285677,527179,"432,2","6,6",FALSE,FALSE
214,AML,LON:AML,Aston Martin Lagonda Global Holdings,FTSE 250,157.00,"1,293.2",1184736668,"142,7",1219859,1264492,"0,3",0,FALSE,FALSE
215,BREE,LON:BREE,Breedon Group,FTSE 250,380.00,"1,291.2",1329089193,387,342863,1202544,408,-1,FALSE,FALSE
216,BHMG,LON:BHMG,BH Macro Ltd,FTSE 250,353.00,"1,286.6",1335395812,350,550467,830334,"423,5",-3,FALSE,FALSE
,FEVR,LON:FEVR,Fevertree Drinks,FTSE AIM,"1,102.00","1,285.9",1381860608,1184,178689,170689,1489,24,FALSE,FALSE
,GAMA,LON:GAMA,Gamma Communications,FTSE AIM,"1,320.00","1,283.1",1399487388,1440,51199,187079,1444,24,FALSE,FALSE
217,SRE,LON:SRE,Sirius Real Estate Ltd,FTSE 250,95.30,"1,277.8",1304120095,"96,75",295726,1867533,"77,88","0,09",FALSE,FALSE
218,VSVS,LON:VSVS,Vesuvius,FTSE 250,472.00,"1,268.8",1317935466,"494,5",108538,273675,509,-1,FALSE,FALSE
219,AJB,LON:AJB,AJ Bell,FTSE 250,307.00,"1,264.6",1478706736,"358,3",164588,503587,"375,5",1,FALSE,FALSE
220,CKN,LON:CKN,Clarkson,FTSE 250,"4,070.00","1,250.7",1247211759,4050,104069,62249,4145,150,FALSE,FALSE
221,AGR,LON:AGR,Assura,FTSE 250,41.80,"1,247.6",1264539019,"42,3",7050216,7873082,"41,17","-0,02",FALSE,FALSE
222,PHP,LON:PHP,Primary Health Properties,FTSE 250,93.00,"1,242.1",1293057945,"96,6",1460113,2888772,109,"1,15",FALSE,FALSE
223,ASHM,LON:ASHM,Ashmore Group,FTSE 250,186.80,"1,239.6",1416215351,"198,7",217278,569498,241,2,FALSE,FALSE
224,OXIG,LON:OXIG,Oxford Instruments,FTSE 250,"2,125.00","1,229.9",1365426170,"2357,57",10544,52979,2870,"22,57",FALSE,FALSE
,EVR,LON:EVR,Evraz,,82.68,"1,206.0",11823035,81,0,0,"198,99","0,82",FALSE,FALSE
226,ITH,LON:ITH,Ithaca Energy,FTSE 250,118.80,"1,205.1",1189391096,"117,6",361563,1234858,"187,4","1,2",FALSE,FALSE
227,BYIT,LON:BYIT,Bytes Technology Group,FTSE 250,491.80,"1,182.0",1243869727,517,191558,851531,665,10,FALSE,FALSE
228,KNOS,LON:KNOS,Kainos Group Ltd,FTSE 250,940.00,"1,182.0",1295952180,1030,49119,368654,"0,01",0,FALSE,FALSE
229,ASL,LON:ASL,Aberforth Smaller Companies Trust,FTSE 250,"1,396.00","1,175.9",1241063459,"1474,48",104901,113308,"0,06",0,FALSE,FALSE
230,JMG,LON:JMG,JPMorgan Emerging Markets Inv Trust,FTSE 250,103.80,"1,171.6",1199462975,"107,28",1310872,1763953,"109,28","0,2",FALSE,FALSE
231,MONY,LON:MONY,Moneysupermarket.com Group,FTSE 250,216.20,"1,160.9",1255328589,"233,8",855102,1014763,"288,8","1,48",FALSE,FALSE
232,DWL,LON:DWL,Dowlais Group,FTSE 250,83.00,"1,156.4",1093533525,"78,7",4369229,13655533,"12298,09","20,42",FALSE,FALSE
233,GNS,LON:GNS,Genus,FTSE 250,"1,750.00","1,155.5",1236265300,"1872,2",791793,72061,"2,48","-0,01",TRUE,TRUE
234,HRI,LON:HRI,Herald Investment Trust,FTSE 250,"2,075.00","1,145.2",1177221943,2158,43888,60551,171,"0,63",FALSE,FALSE
235,VEIL,LON:VEIL,Vietnam Enterprise Investments Ltd,FTSE 250,569.00,"1,138.1",1184385892,"601,16",58916,172434,660,"2,16",FALSE,FALSE
236,SPT,LON:SPT,Spirent Communications,FTSE 250,194.60,"1,126.0",1099655108,"190,4",1210607,4548243,"68,41","1,38",FALSE,FALSE
237,BCG,LON:BCG,Baltic Classifieds Group,FTSE 250,229.50,"1,124.5",1147498890,"234,5",155243,326265,"16,61",0,FALSE,FALSE
238,FGP,LON:FGP,FirstGroup,FTSE 250,172.50,"1,110.6",1114365013,"175,7",530338,821039,189,"3,6",FALSE,FALSE
239,MGNS,LON:MGNS,Morgan Sindall,FTSE 250,"2,330.00","1,103.5",1143796888,2420,21903,77402,2495,5,FALSE,FALSE
240,LWDB,LON:LWDB,Law Debenture Corp,FTSE 250,835.00,"1,095.5",1161047430,"885,24",135496,171400,892,"2,56",FALSE,FALSE
241,VCT,LON:VCT,Victrex,FTSE 250,"1,256.00","1,093.0",1143638848,1316,108786,110957,"0,1",0,FALSE,FALSE
242,EDIN,LON:EDIN,Edinburgh Investment Trust,FTSE 250,710.00,"1,085.8",1114101781,"737,13",646611,235947,"742,73","-1,87",FALSE,FALSE
243,FCSS,LON:FCSS,Fidelity China Special Situations,FTSE 250,206.50,"1,085.5",1267410036,"242,13",1176844,908447,"245,5","-0,87",FALSE,FALSE
244,CGT,LON:CGT,Capital Gearing Trust,FTSE 250,"4,740.00","1,076.8",1030641990,4765,40102,55389,4790,"9,1",FALSE,FALSE
245,BRWM,LON:BRWM,BlackRock World Mining Trust,FTSE 250,561.00,"1,072.5",1171990676,"612,82",344155,545831,644,"-3,18",FALSE,FALSE
246,GEN,LON:GEN,Genuit Group,FTSE 250,430.00,"1,071.4",1138706443,457,52478,399465,"24,49","0,48",FALSE,FALSE
247,AGT,LON:AGT,AVI Global Trust,FTSE 250,235.50,"1,065.5",1106384766,"246,79",551925,682942,"0,25",0,FALSE,FALSE
248,IEM,LON:IEM,Impax Environmental Markets,FTSE 250,387.00,"1,061.5",1064393023,"401,91",324617,574543,"421,5",0,FALSE,FALSE
249,JUST,LON:JUST,Just Group,FTSE 250,101.20,"1,051.2",1071940432,"103,2",355775,1758163,"75,06","-0,14",FALSE,FALSE
250,N91,LON:N91,Ninety One,FTSE 250,166.80,"1,038.5",1574468612,"175,1",288907,553550,"194,8","-0,2",FALSE,FALSE
251,RICA,LON:RICA,Ruffer Investment Company Ltd,FTSE 250,274.50,"1,036.1",1003115663,"272,23",755931,855601,"298,5","-0,27",FALSE,FALSE
253,GPE,LON:GPE,Great Portland Estates,FTSE 250,399.50,"1,010.7",1056090048,416,83147,393818,"518,5","6,5",FALSE,FALSE
,YOU,LON:YOU,YouGov,FTSE AIM,870.00,"1,007.8",978992032,845,73452,232824,"27,75","0,64",FALSE,FALSE
254,SPI,LON:SPI,Spire Healthcare Group,FTSE 250,247.00,998.2,1038619497,"256,75",71221,481489,"1,61","0,01",FALSE,FALSE
255,HTWS,LON:HTWS,Helios Towers,FTSE 250,94.80,995.9,1154404766,"109,99",254927,629785,"113,09","-0,61",FALSE,FALSE
256,CHG,LON:CHG,Chemring Group,FTSE 250,364.50,995.7,1037714841,381,652557,481902,"412,14","1,5",FALSE,FALSE
257,IHP,LON:IHP,IntegraFin Holdings,FTSE 250,300.00,994.0,982369730,"296,5",109390,241883,"312,4","-0,5",FALSE,FALSE
258,TRY,LON:TRY,TR Property Investment Trust,FTSE 250,310.50,985.4,1044481149,"329,13",406733,703926,345,"1,24",FALSE,FALSE
259,WKP,LON:WKP,Workspace Group,FTSE 250,497.50,954.8,1049749341,"548,99",502003,212653,617,6,FALSE,FALSE
260,FSV,LON:FSV,Fidelity Special Values,FTSE 250,294.00,952.9,991775075,306,667498,565071,"171,94","1,05",FALSE,FALSE
261,BBGI,LON:BBGI,Bilfinger Berger Global Infrastructure SICAV SA,FTSE 250,130.00,929.3,980524770,"137,16",674027,1531254,"1,28","0,02",FALSE,FALSE
,KWS,LON:KWS,Keywords Studios,FTSE AIM,"1,172.00",925.3,1031713875,"1314,28",86392,235123,2362,34,FALSE,FALSE
262,SUPR,LON:SUPR,Supermarket Income Reit,FTSE 250,74.00,922.2,934679250,"75,05",2772472,2870802,"0,22",0,FALSE,FALSE
263,JDW,LON:JDW,Wetherspoon (JD),FTSE 250,741.50,916.7,952462043,"770,46",277785,202494,"862,5","12,46",FALSE,FALSE
264,MUT,LON:MUT,Murray Income Trust,FTSE 250,851.00,914.1,944658606,"894,58",86686,188656,900,"-0,42",FALSE,FALSE
,NFG,LON:NFG,Next 15 Group,FTSE AIM,907.00,901.4,942986700,959,340068,210955,"57,6","0,07",FALSE,FALSE
,CRN,LON:CRN,Cairn Homes,,138.60,898.5,931742079,"144,2",140116,505786,"149,01","0,94",FALSE,FALSE
265,SAIN,LON:SAIN,Scottish American Investment Co,FTSE 250,498.50,888.9,918326885,"515,76",182494,283529,543,1,FALSE,FALSE
,BPCP,LON:BPCP,BioPharma Credit,,70.40,882.6,1072808000,70,13018,7760,"4,3","0,3",FALSE,FALSE
,ONT,LON:ONT,Oxford Nanopore Technologies,,102.50,881.0,947463881,"110,3",508714,1506544,279,"0,24",FALSE,FALSE
,JHD,LON:JHD,James Halstead,FTSE AIM,203.00,878.6,832530834,"199,75",114924,191100,"228,18","-2,34",FALSE,FALSE
,ALPH,LON:ALPH,Alpha Group International,FTSE AIM,"2,040.00",877.6,928387600,2179,96712,178568,2320,0,FALSE,FALSE
266,WOSG,LON:WOSG,Watches Of Switzerland Group,FTSE 250,362.60,868.7,832266860,"347,52",1168250,1161285,791,"12,8",FALSE,FALSE
267,UKCM,LON:UKCM,UK Commercial Property Reit Ltd,FTSE 250,66.60,865.4,922582520,"70,7",1236897,2267200,73,"1,11",FALSE,FALSE
269,REDD,LON:REDD,Redde Northgate,FTSE 250,377.00,854.9,923751373,"407,06",1104121,336176,411,"2,06",FALSE,FALSE
270,MGAM,LON:MGAM,Morgan Advanced Materials,FTSE 250,298.50,851.8,920318250,322,1389398,558572,"0,99",0,FALSE,FALSE
,THG,LON:THG,THG,,65.00,844.8,925353749,"69,77",1786905,3062204,138,"0,23",FALSE,FALSE
,OCI,LON:OCI,Oakley Capital Investments Ltd,,478.00,843.3,835046519,"473,25",82682,192792,"0,08",0,FALSE,FALSE
271,ELM,LON:ELM,Elementis,FTSE 250,142.60,838.2,862438572,146,325724,1173365,"0,04",0,FALSE,FALSE
,DAL,LON:DAL,Dalata Hotel Group Ltd,,372.00,831.3,971740400,"375,89",1271,4946,"53,86","0,05",FALSE,FALSE
272,HFG,LON:HFG,Hilton Food Group,FTSE 250,917.00,821.7,829716649,926,36498,201696,957,-8,FALSE,FALSE
273,MRCH,LON:MRCH,Merchants Trust,FTSE 250,550.00,815.8,868312244,"580,8",183617,234728,588,"0,2",FALSE,FALSE
274,SYNC,LON:SYNC,Syncona Ltd,FTSE 250,124.00,815.1,762577335,"117,15",397073,497582,"162,2","-2,05",FALSE,FALSE
275,GSCT,LON:GSCT,Global Smaller Companies Trust,FTSE 250,160.80,813.2,822757041,"166,58",201599,681861,"167,6","0,18",FALSE,FALSE
276,FAN,LON:FAN,Volution Group,FTSE 250,410.50,811.9,902985759,"456,5",54318,301023,"18,12","0,08",FALSE,FALSE
277,ICGT,LON:ICGT,ICG Enterprise Trust,FTSE 250,"1,214.00",810.9,792062334,"1187,19",20460,127270,1276,10,FALSE,FALSE
278,TRST,LON:TRST,Trustpilot Group,FTSE 250,195.00,809.0,885525801,"214,02",357909,1374330,"32,1","0,35",FALSE,FALSE
,CRE,LON:CRE,Conduit Holdings Ltd,,505.00,796.3,844033184,513,610592,320420,"2,18","-0,03",FALSE,FALSE
,CRW,LON:CRW,Craneware,FTSE AIM,"2,230.00",787.9,782516629,2222,68906,64342,2400,12,FALSE,FALSE
279,KLR,LON:KLR,Keller Group,FTSE 250,"1,078.00",784.5,831932898,1140,70790,162827,1174,-6,FALSE,FALSE
280,HOC,LON:HOC,Hochschild Mining,FTSE 250,151.40,778.9,812935086,"158,6",356104,1570147,"168,6","0,8",FALSE,FALSE
281,TFIF,LON:TFIF,TwentyFour Income Fund Ltd,FTSE 250,104.00,777.8,773614517,"103,9",611255,1516479,"108,8","-0,7",FALSE,FALSE
,AWE,LON:AWE,Alphawave IP Group,,108.00,772.8,913571421,"125,36",1752890,1828726,"0,24",0,FALSE,FALSE
282,TYMN,LON:TYMN,Tyman,FTSE 250,393.00,771.5,753041578,383,139574,574796,400,"0,5",FALSE,FALSE
283,NBPE,LON:NBPE,NB Private Equity Partners Ltd,FTSE 250,"1,660.00",767.5,811527494,1626,24975,59653,1714,-4,FALSE,FALSE
284,TIFS,LON:TIFS,TI Fluid Systems,FTSE 250,149.00,766.4,706188687,"139,6",827672,1055765,"172,25","-1,2",FALSE,FALSE
,SQZ,LON:SQZ,Serica Energy,FTSE AIM,193.80,762.5,725716810,"185,5",2277897,2324864,"271,77","4,7",FALSE,FALSE
,GBG,LON:GBG,GB Group,FTSE AIM,301.00,760.3,806805023,"320,2",404420,718841,"324,8","4,4",FALSE,FALSE
285,SDP,LON:SDP,Schroder AsiaPacific Fund,FTSE 250,499.50,759.8,788100773,"525,13",382568,288821,"17,08","-0,05",FALSE,FALSE
,RNWH,LON:RNWH,Renew Holdings,FTSE AIM,944.00,747.1,805626774,1024,204138,150471,1056,20,FALSE,FALSE
287,JFJ,LON:JFJ,JPMorgan Japanese Investment Trust,FTSE 250,508.00,744.7,757082092,"519,04",94695,245768,553,"0,04",FALSE,FALSE
,TGA,LON:TGA,Thungela Resources Ltd,,542.00,742.0,18890634996,"578,57",126218,225842,"823,48",8,FALSE,FALSE
288,TMPL,LON:TMPL,Temple Bar Investment Trust,FTSE 250,256.00,739.8,780630287,"272,5",504604,605387,"273,88","0,49",FALSE,FALSE
289,FUTR,LON:FUTR,Future,FTSE 250,638.50,735.6,970592015,"842,5",409226,406259,"0,03",0,FALSE,FALSE
,ICGC,LON:ICGC,Irish Continental Group,,443.00,733.6,898028007,"459,4",37345,868,"486,2","-12,6",TRUE,TRUE
,SRC,LON:SRC,SigmaRoc,FTSE AIM,65.50,730.2,724655100,"65,1",1618311,2217323,"1,1",0,FALSE,FALSE
290,VOF,LON:VOF,VinaCapital Vietnam Opportunity Fund Ltd,FTSE 250,473.00,728.7,745769972,"489,22",96094,199419,"496,5","-0,78",FALSE,FALSE
,JDG,LON:JDG,Judges Scientific,FTSE AIM,"11,000.00",728.1,789914238,11900,5461,8257,12200,-100,FALSE,FALSE
291,CMCX,LON:CMCX,CMC Markets,FTSE Small Cap,257.00,719.1,726120963,"259,5",1329171,619757,"275,5","-12,5",FALSE,FALSE
292,DOCS,LON:DOCS,Dr. Martens,FTSE 250,74.05,712.1,756081602,"78,44",177846,2802417,"36,29","0,85",FALSE,FALSE
293,CURY,LON:CURY,Currys,FTSE 250,62.80,711.8,801380223,"70,7",13830871,2103825,"72,6","5,35",TRUE,FALSE
294,CBG,LON:CBG,Close Brothers Group,FTSE 250,464.20,698.6,741301434,"491,4",565236,783784,"0,15",0,FALSE,FALSE
295,JEDT,LON:JEDT,JPMorgan European Discovery Trust,FTSE 250,465.00,693.2,699015360,"479,5",29543,201250,481,"1,5",FALSE,FALSE
296,APAX,LON:APAX,APAX Global Alpha Ltd,FTSE 250,141.00,692.5,775997404,"158,85",239920,585268,189,"2,2",FALSE,FALSE
297,BAKK,LON:BAKK,Bakkavor Group,FTSE 250,119.50,692.4,709216943,123,2774288,215799,124,2,TRUE,TRUE
298,ESCT,LON:ESCT,The European Smaller Companies Trust,FTSE 250,172.00,688.6,732758229,"184,02",248623,516078,"184,4","0,42",FALSE,FALSE
299,DSCV,LON:DSCV,Discoverie Group,FTSE 250,711.00,681.5,701503989,"734,9",54372,126823,958,"10,9",FALSE,FALSE
,CVSG,LON:CVSG,CVS Group,FTSE AIM,950.00,680.8,706454411,"984,82",236819,288313,2226,30,FALSE,FALSE
300,SNR,LON:SNR,Senior,FTSE 250,161.80,678.6,708816420,169,104400,419560,"0,15",0,FALSE,FALSE
,ADT1,LON:ADT1,Adriatic Metals,,229.50,677.6,734296764,"240,5",74592,144759,245,-1,FALSE,FALSE
301,JII,LON:JII,JPMorgan Indian Investment Trust,FTSE 250,940.00,673.5,681967421,963,40856,100761,973,8,FALSE,FALSE
302,MSLH,LON:MSLH,Marshalls,FTSE 250,265.50,671.6,774514302,"306,5",881093,460350,316,"-8,3",FALSE,FALSE
303,BBH,LON:BBH,Bellevue Healthcare Trust,FTSE 250,144.20,667.1,665880324,144,911112,1651218,"171,05","0,78",FALSE,FALSE
304,BRSC,LON:BRSC,BlackRock Smaller Companies Trust,FTSE 250,"1,406.00",665.4,682711456,"1447,65",37089,105734,"1464,04","7,65",FALSE,FALSE
305,CCR,LON:CCR,C&C Group,FTSE 250,165.20,650.4,665187398,"171,12",1621005,614627,"0,06",0,FALSE,FALSE
306,SEIT,LON:SEIT,SDCL Energy Efficiency Income Trust,FTSE 250,59.00,640.4,738182636,"68,4",1314530,1167205,"94,9","-0,3",FALSE,FALSE
307,BGFD,LON:BGFD,Baillie Gifford Japan Trust,FTSE 250,712.00,640.4,656688478,"737,38",53216,250088,802,5,FALSE,FALSE
308,SOI,LON:SOI,Schroder Oriental Income Fund Ltd,FTSE 250,257.00,636.3,659882960,"270,13",135790,415195,"11,33","0,15",FALSE,FALSE
309,GCP,LON:GCP,GCP Infrastructure Investments Ltd,FTSE 250,73.30,636.1,671686965,"77,42",949407,1300571,"0,27",0,FALSE,FALSE
310,MEGP,LON:MEGP,Me Group International,FTSE 250,168.60,634.1,632676949,"168,06",113577,225018,"179,6","4,8",FALSE,FALSE
311,ATG,LON:ATG,Auction Technology Group,FTSE 250,520.00,632.5,587974254,483,286559,446054,810,-5,FALSE,FALSE
312,PPH,LON:PPH,PPHE Hotel Group Ltd,FTSE 250,"1,480.00",627.0,616227198,1460,1894,13954,"91,16","-0,03",FALSE,FALSE
,PEYS,LON:PEYS,Princess Private Equity Holding Ltd,,906.00,626.5,784865730,"895,77",456,889,964,"-68,23",FALSE,FALSE
313,BRGE,LON:BRGE,BlackRock Greater Europe Investment Trust,FTSE 250,621.00,625.4,634916130,634,85700,108511,653,"1,54",FALSE,FALSE
314,BAG,LON:BAG,Barr (AG),FTSE 250,558.00,625.1,640804736,572,16747,94536,"0,05",0,FALSE,FALSE
315,BSIF,LON:BSIF,Bluefield Solar Income Fund Ltd,FTSE 250,102.00,623.7,649657923,"107,21",1093344,1067060,"138,8","0,41",FALSE,FALSE
,UPR,LON:UPR,Uniphar,FTSE AIM,220.00,616.1,708425555,"220,5",4020,39769,300,"-3,5",FALSE,FALSE
316,GNC,LON:GNC,Greencore Group,FTSE Small Cap,131.00,613.9,646256246,"138,08",1069817,2257092,"139,8","-0,4",FALSE,FALSE
317,MOON,LON:MOON,Moonpig Group,FTSE 250,178.00,611.1,540378994,"157,26",68321,827904,"14,95","0,45",FALSE,FALSE
318,JLEN,LON:JLEN,JLEN Environmental Assets Group Ltd,FTSE 250,92.10,609.3,590085810,"89,2",1785163,1216114,122,"-0,7",FALSE,FALSE
320,IBST,LON:IBST,Ibstock,FTSE 250,153.00,601.0,604973600,154,225149,819936,"170,9","1,8",FALSE,FALSE
,LTG,LON:LTG,Learning Technologies Group,FTSE AIM,75.90,600.3,622403333,"78,6",291798,1454709,"105,5","0,32",FALSE,FALSE
,RWS,LON:RWS,RWS Holdings,FTSE AIM,162.20,598.1,660005041,179,1684416,1601620,"284,4","2,4",FALSE,FALSE
321,USA,LON:USA,Baillie Gifford US Growth Trust,FTSE 250,196.60,597.0,585197331,196,336424,528158,"7,18",0,FALSE,FALSE
,ATYM,LON:ATYM,Atalaya Mining,FTSE AIM,425.00,594.6,626002944,"447,5",67321,366153,0,0,FALSE,FALSE
,IPX,LON:IPX,IMPAX Asset Management Group,FTSE AIM,461.00,591.6,666973667,501,108167,334007,"18,57","0,03",FALSE,FALSE
,EGY,LON:EGY,VAALCO Energy Inc,,560.00,588.9,627081620,477,35000,209,"7,51","-0,05",TRUE,TRUE
,VLX,LON:VLX,Volex Group,FTSE AIM,323.00,586.6,631980019,349,280350,511373,"0,11",0,FALSE,FALSE
322,HSL,LON:HSL,Henderson Smaller Companies Investment Trust,FTSE 250,785.00,586.4,622572075,835,66250,144404,840,0,FALSE,FALSE
323,EOT,LON:EOT,European Opportunities Trust,FTSE 250,858.00,583.5,585271930,"897,57",60040,95006,"18,05","-0,01",FALSE,FALSE
324,DGN,LON:DGN,Asia Dragon Trust,FTSE 250,360.00,581.4,647272008,408,43066,202394,"417,44",0,FALSE,FALSE
325,HTG,LON:HTG,Hunting,FTSE 250,352.50,581.4,610949210,"371,5",122008,460818,387,4,FALSE,FALSE
326,PRTC,LON:PRTC,Puretech Health,FTSE 250,213.00,575.0,598603674,"222,02",37507,330685,34,0,FALSE,FALSE
327,KIE,LON:KIE,Kier Group,FTSE 250,128.40,573.2,646655815,"143,4",1226644,1559981,"52,26","0,24",FALSE,FALSE
328,BOWL,LON:BOWL,Hollywood Bowl Group,FTSE 250,334.00,573.1,585959701,"341,5",143295,646642,"15,47","1,36",FALSE,FALSE
329,STEM,LON:STEM,SThree,FTSE 250,429.50,571.0,586021012,"433,5",44092,146232,"7,79","0,05",FALSE,FALSE
330,PHI,LON:PHI,Pacific Horizon Investment Trust,FTSE 250,620.00,562.5,586625195,"647,36",42083,151192,"30,39","-0,09",FALSE,FALSE
,TKO,LON:TKO,Taseko Mines Ltd,,194.00,560.1,769502912,209,3521,7662,"106,16","1,64",FALSE,FALSE
